
POLYGON ((-168.6339526776332 53.7592248344959, -168.6355447353783 53.74159893721165, -168.6400477141842 53.72415007023051, -168.6474147486259 53.70704595024976, -168.6575716782366 53.69045077875412, -168.6704178836024 53.67452368104779, -168.6858273611392 53.65941720076808, -168.7036500223065 53.64527586332112, -168.7237132016369 53.63223482081526, -168.7458233568453 53.62041859013198, -168.7697679433874 53.60993989477868, -168.7953174451579 53.60089862012816, -168.8222275425013 53.59338089057237, -168.8502413983453 53.58745827601753, -168.8790920430115 53.58318713402473, -168.9085048380958 53.58060809276795, -168.938199999711 53.57974567883724, -168.9678951613263 53.58060809276795, -168.9973079564106 53.58318713402473, -169.0261586010767 53.58745827601753, -169.0541724569207 53.59338089057237, -169.0810825542641 53.60089862012816, -169.1066320560346 53.60993989477868, -169.1305766425767 53.62041859013198, -169.1526867977851 53.63223482081526, -169.1727499771155 53.64527586332112, -169.1905726382828 53.65941720076808, -169.2059821158196 53.67452368104779, -169.2188283211854 53.69045077875412, -169.2289852507961 53.70704595024976, -169.2363522852378 53.72415007023051, -169.2408552640437 53.74159893721165, -169.2424473217888 53.7592248344959, -169.2411094728993 53.77685813240547, -169.2368509345055 53.79432891688602, -169.2297091788843 53.81146862903508, -169.2197497095378 53.82811169968861, -169.207065557724 53.84409716293184, -169.1917764992685 53.85927023229974, -169.1740279947003 53.87348382351266, -169.1539898591301 53.88660000786257, -169.1318546717655 53.89849138083439, -169.1078359384617 53.90904233121938, -169.082166024183 53.91815019685243, -169.0550938755958 53.92572629417961, -169.0268825571794 53.93169681012687, -168.9978066271197 53.9360035461823, -168.9681493817859 53.93860450620424, -168.938199999711 53.93947432120474, -168.9082506176361 53.93860450620424, -168.8785933723023 53.9360035461823, -168.8495174422426 53.93169681012687, -168.8213061238262 53.92572629417961, -168.794233975239 53.91815019685243, -168.7685640609603 53.90904233121938, -168.7445453276565 53.89849138083439, -168.7224101402919 53.88660000786257, -168.7023720047218 53.87348382351266, -168.6846235001535 53.85927023229974, -168.669334441698 53.84409716293184, -168.6566502898842 53.82811169968861, -168.6466908205377 53.81146862903508, -168.6395490649165 53.79432891688602, -168.6352905265227 53.77685813240549, -168.6339526776332 53.7592248344959, -168.6339526776332 53.7592248344959)); 
POLYGON ((-168.6339526776332 53.7592248344959, -168.6355447353783 53.74159893721165, -168.6400477141842 53.72415007023051, -168.6474147486259 53.70704595024976, -168.6575716782366 53.69045077875412, -168.6704178836024 53.67452368104779, -168.6858273611392 53.65941720076808, -168.7036500223065 53.64527586332112, -168.7237132016369 53.63223482081526, -168.7458233568453 53.62041859013198, -168.7697679433874 53.60993989477868, -168.7953174451579 53.60089862012816, -168.8222275425013 53.59338089057237, -168.8502413983453 53.58745827601753, -168.8790920430115 53.58318713402473, -168.9085048380958 53.58060809276795, -168.938199999711 53.57974567883724, -168.9678951613263 53.58060809276795, -168.9973079564106 53.58318713402473, -169.0261586010767 53.58745827601753, -169.0541724569207 53.59338089057237, -169.0810825542641 53.60089862012816, -169.1066320560346 53.60993989477868, -169.1305766425767 53.62041859013198, -169.1526867977851 53.63223482081526, -169.1727499771155 53.64527586332112, -169.1905726382828 53.65941720076808, -169.2059821158196 53.67452368104779, -169.2188283211854 53.69045077875412, -169.2289852507961 53.70704595024976, -169.2363522852378 53.72415007023051, -169.2408552640437 53.74159893721165, -169.2424473217888 53.7592248344959, -169.2411094728993 53.77685813240547, -169.2368509345055 53.79432891688602, -169.2297091788843 53.81146862903508, -169.2197497095378 53.82811169968861, -169.207065557724 53.84409716293184, -169.1917764992685 53.85927023229974, -169.1740279947003 53.87348382351266, -169.1539898591301 53.88660000786257, -169.1318546717655 53.89849138083439, -169.1078359384617 53.90904233121938, -169.082166024183 53.91815019685243, -169.0550938755958 53.92572629417961, -169.0268825571794 53.93169681012687, -168.9978066271197 53.9360035461823, -168.9681493817859 53.93860450620424, -168.938199999711 53.93947432120474, -168.9082506176361 53.93860450620424, -168.8785933723023 53.9360035461823, -168.8495174422426 53.93169681012687, -168.8213061238262 53.92572629417961, -168.794233975239 53.91815019685243, -168.7685640609603 53.90904233121938, -168.7445453276565 53.89849138083439, -168.7224101402919 53.88660000786257, -168.7023720047218 53.87348382351266, -168.6846235001535 53.85927023229974, -168.669334441698 53.84409716293184, -168.6566502898842 53.82811169968861, -168.6466908205377 53.81146862903508, -168.6395490649165 53.79432891688602, -168.6352905265227 53.77685813240549, -168.6339526776332 53.7592248344959, -168.6339526776332 53.7592248344959)); 
POLYGON ((-168.6339526776332 53.7592248344959, -168.6355447353783 53.74159893721165, -168.6400477141842 53.72415007023051, -168.6474147486259 53.70704595024976, -168.6575716782366 53.69045077875412, -168.6704178836024 53.67452368104779, -168.6858273611392 53.65941720076808, -168.7036500223065 53.64527586332112, -168.7237132016369 53.63223482081526, -168.7458233568453 53.62041859013198, -168.7697679433874 53.60993989477868, -168.7953174451579 53.60089862012816, -168.8222275425013 53.59338089057237, -168.8502413983453 53.58745827601753, -168.8790920430115 53.58318713402473, -168.9085048380958 53.58060809276795, -168.938199999711 53.57974567883724, -168.9678951613263 53.58060809276795, -168.9973079564106 53.58318713402473, -169.0261586010767 53.58745827601753, -169.0541724569207 53.59338089057237, -169.0810825542641 53.60089862012816, -169.1066320560346 53.60993989477868, -169.1305766425767 53.62041859013198, -169.1526867977851 53.63223482081526, -169.1727499771155 53.64527586332112, -169.1905726382828 53.65941720076808, -169.2059821158196 53.67452368104779, -169.2188283211854 53.69045077875412, -169.2289852507961 53.70704595024976, -169.2363522852378 53.72415007023051, -169.2408552640437 53.74159893721165, -169.2424473217888 53.7592248344959, -169.2411094728993 53.77685813240547, -169.2368509345055 53.79432891688602, -169.2297091788843 53.81146862903508, -169.2197497095378 53.82811169968861, -169.207065557724 53.84409716293184, -169.1917764992685 53.85927023229974, -169.1740279947003 53.87348382351266, -169.1539898591301 53.88660000786257, -169.1318546717655 53.89849138083439, -169.1078359384617 53.90904233121938, -169.082166024183 53.91815019685243, -169.0550938755958 53.92572629417961, -169.0268825571794 53.93169681012687, -168.9978066271197 53.9360035461823, -168.9681493817859 53.93860450620424, -168.938199999711 53.93947432120474, -168.9082506176361 53.93860450620424, -168.8785933723023 53.9360035461823, -168.8495174422426 53.93169681012687, -168.8213061238262 53.92572629417961, -168.794233975239 53.91815019685243, -168.7685640609603 53.90904233121938, -168.7445453276565 53.89849138083439, -168.7224101402919 53.88660000786257, -168.7023720047218 53.87348382351266, -168.6846235001535 53.85927023229974, -168.669334441698 53.84409716293184, -168.6566502898842 53.82811169968861, -168.6466908205377 53.81146862903508, -168.6395490649165 53.79432891688602, -168.6352905265227 53.77685813240549, -168.6339526776332 53.7592248344959, -168.6339526776332 53.7592248344959)); 
POLYGON ((-168.6339526776332 53.7592248344959, -168.6355447353783 53.74159893721165, -168.6400477141842 53.72415007023051, -168.6474147486259 53.70704595024976, -168.6575716782366 53.69045077875412, -168.6704178836024 53.67452368104779, -168.6858273611392 53.65941720076808, -168.7036500223065 53.64527586332112, -168.7237132016369 53.63223482081526, -168.7458233568453 53.62041859013198, -168.7697679433874 53.60993989477868, -168.7953174451579 53.60089862012816, -168.8222275425013 53.59338089057237, -168.8502413983453 53.58745827601753, -168.8790920430115 53.58318713402473, -168.9085048380958 53.58060809276795, -168.938199999711 53.57974567883724, -168.9678951613263 53.58060809276795, -168.9973079564106 53.58318713402473, -169.0261586010767 53.58745827601753, -169.0541724569207 53.59338089057237, -169.0810825542641 53.60089862012816, -169.1066320560346 53.60993989477868, -169.1305766425767 53.62041859013198, -169.1526867977851 53.63223482081526, -169.1727499771155 53.64527586332112, -169.1905726382828 53.65941720076808, -169.2059821158196 53.67452368104779, -169.2188283211854 53.69045077875412, -169.2289852507961 53.70704595024976, -169.2363522852378 53.72415007023051, -169.2408552640437 53.74159893721165, -169.2424473217888 53.7592248344959, -169.2411094728993 53.77685813240547, -169.2368509345055 53.79432891688602, -169.2297091788843 53.81146862903508, -169.2197497095378 53.82811169968861, -169.207065557724 53.84409716293184, -169.1917764992685 53.85927023229974, -169.1740279947003 53.87348382351266, -169.1539898591301 53.88660000786257, -169.1318546717655 53.89849138083439, -169.1078359384617 53.90904233121938, -169.082166024183 53.91815019685243, -169.0550938755958 53.92572629417961, -169.0268825571794 53.93169681012687, -168.9978066271197 53.9360035461823, -168.9681493817859 53.93860450620424, -168.938199999711 53.93947432120474, -168.9082506176361 53.93860450620424, -168.8785933723023 53.9360035461823, -168.8495174422426 53.93169681012687, -168.8213061238262 53.92572629417961, -168.794233975239 53.91815019685243, -168.7685640609603 53.90904233121938, -168.7445453276565 53.89849138083439, -168.7224101402919 53.88660000786257, -168.7023720047218 53.87348382351266, -168.6846235001535 53.85927023229974, -168.669334441698 53.84409716293184, -168.6566502898842 53.82811169968861, -168.6466908205377 53.81146862903508, -168.6395490649165 53.79432891688602, -168.6352905265227 53.77685813240549, -168.6339526776332 53.7592248344959, -168.6339526776332 53.7592248344959)); 
POLYGON ((-168.6339526776332 53.7592248344959, -168.6355447353783 53.74159893721165, -168.6400477141842 53.72415007023051, -168.6474147486259 53.70704595024976, -168.6575716782366 53.69045077875412, -168.6704178836024 53.67452368104779, -168.6858273611392 53.65941720076808, -168.7036500223065 53.64527586332112, -168.7237132016369 53.63223482081526, -168.7458233568453 53.62041859013198, -168.7697679433874 53.60993989477868, -168.7953174451579 53.60089862012816, -168.8222275425013 53.59338089057237, -168.8502413983453 53.58745827601753, -168.8790920430115 53.58318713402473, -168.9085048380958 53.58060809276795, -168.938199999711 53.57974567883724, -168.9678951613263 53.58060809276795, -168.9973079564106 53.58318713402473, -169.0261586010767 53.58745827601753, -169.0541724569207 53.59338089057237, -169.0810825542641 53.60089862012816, -169.1066320560346 53.60993989477868, -169.1305766425767 53.62041859013198, -169.1526867977851 53.63223482081526, -169.1727499771155 53.64527586332112, -169.1905726382828 53.65941720076808, -169.2059821158196 53.67452368104779, -169.2188283211854 53.69045077875412, -169.2289852507961 53.70704595024976, -169.2363522852378 53.72415007023051, -169.2408552640437 53.74159893721165, -169.2424473217888 53.7592248344959, -169.2411094728993 53.77685813240547, -169.2368509345055 53.79432891688602, -169.2297091788843 53.81146862903508, -169.2197497095378 53.82811169968861, -169.207065557724 53.84409716293184, -169.1917764992685 53.85927023229974, -169.1740279947003 53.87348382351266, -169.1539898591301 53.88660000786257, -169.1318546717655 53.89849138083439, -169.1078359384617 53.90904233121938, -169.082166024183 53.91815019685243, -169.0550938755958 53.92572629417961, -169.0268825571794 53.93169681012687, -168.9978066271197 53.9360035461823, -168.9681493817859 53.93860450620424, -168.938199999711 53.93947432120474, -168.9082506176361 53.93860450620424, -168.8785933723023 53.9360035461823, -168.8495174422426 53.93169681012687, -168.8213061238262 53.92572629417961, -168.794233975239 53.91815019685243, -168.7685640609603 53.90904233121938, -168.7445453276565 53.89849138083439, -168.7224101402919 53.88660000786257, -168.7023720047218 53.87348382351266, -168.6846235001535 53.85927023229974, -168.669334441698 53.84409716293184, -168.6566502898842 53.82811169968861, -168.6466908205377 53.81146862903508, -168.6395490649165 53.79432891688602, -168.6352905265227 53.77685813240549, -168.6339526776332 53.7592248344959, -168.6339526776332 53.7592248344959)); 
POLYGON ((-168.6339526776332 53.7592248344959, -168.6355447353783 53.74159893721165, -168.6400477141842 53.72415007023051, -168.6474147486259 53.70704595024976, -168.6575716782366 53.69045077875412, -168.6704178836024 53.67452368104779, -168.6858273611392 53.65941720076808, -168.7036500223065 53.64527586332112, -168.7237132016369 53.63223482081526, -168.7458233568453 53.62041859013198, -168.7697679433874 53.60993989477868, -168.7953174451579 53.60089862012816, -168.8222275425013 53.59338089057237, -168.8502413983453 53.58745827601753, -168.8790920430115 53.58318713402473, -168.9085048380958 53.58060809276795, -168.938199999711 53.57974567883724, -168.9678951613263 53.58060809276795, -168.9973079564106 53.58318713402473, -169.0261586010767 53.58745827601753, -169.0541724569207 53.59338089057237, -169.0810825542641 53.60089862012816, -169.1066320560346 53.60993989477868, -169.1305766425767 53.62041859013198, -169.1526867977851 53.63223482081526, -169.1727499771155 53.64527586332112, -169.1905726382828 53.65941720076808, -169.2059821158196 53.67452368104779, -169.2188283211854 53.69045077875412, -169.2289852507961 53.70704595024976, -169.2363522852378 53.72415007023051, -169.2408552640437 53.74159893721165, -169.2424473217888 53.7592248344959, -169.2411094728993 53.77685813240547, -169.2368509345055 53.79432891688602, -169.2297091788843 53.81146862903508, -169.2197497095378 53.82811169968861, -169.207065557724 53.84409716293184, -169.1917764992685 53.85927023229974, -169.1740279947003 53.87348382351266, -169.1539898591301 53.88660000786257, -169.1318546717655 53.89849138083439, -169.1078359384617 53.90904233121938, -169.082166024183 53.91815019685243, -169.0550938755958 53.92572629417961, -169.0268825571794 53.93169681012687, -168.9978066271197 53.9360035461823, -168.9681493817859 53.93860450620424, -168.938199999711 53.93947432120474, -168.9082506176361 53.93860450620424, -168.8785933723023 53.9360035461823, -168.8495174422426 53.93169681012687, -168.8213061238262 53.92572629417961, -168.794233975239 53.91815019685243, -168.7685640609603 53.90904233121938, -168.7445453276565 53.89849138083439, -168.7224101402919 53.88660000786257, -168.7023720047218 53.87348382351266, -168.6846235001535 53.85927023229974, -168.669334441698 53.84409716293184, -168.6566502898842 53.82811169968861, -168.6466908205377 53.81146862903508, -168.6395490649165 53.79432891688602, -168.6352905265227 53.77685813240549, -168.6339526776332 53.7592248344959, -168.6339526776332 53.7592248344959)); 
POLYGON ((-156.2802698058415 20.8985022018798, -156.2812193930987 20.88087349234102, -156.2840133397219 20.8634165960295, -156.2886241175058 20.84629954191805, -156.2950067514041 20.82968703139279, -156.3030992744148 20.81373885775231, -156.3128233432936 20.79860837483376, -156.3240850084544 20.78444102921987, -156.3367756300753 20.77137296981083, -156.3507729311731 20.75952974775654, -156.3659421772664 20.74902511884539, -156.3821374712024 20.73995995944667, -156.3992031507995 20.73242130601362, -156.4169752761353 20.72648152698369, -156.4352831926145 20.72219763467228, -156.4539511553619 20.71961074345646, -156.47280000002 20.71874567919645, -156.4916488446781 20.71961074345646, -156.5103168074255 20.72219763467228, -156.5286247239047 20.72648152698369, -156.5463968492405 20.73242130601362, -156.5634625288376 20.73995995944667, -156.5796578227736 20.74902511884539, -156.5948270688669 20.75952974775654, -156.6088243699647 20.77137296981083, -156.6215149915855 20.78444102921987, -156.6327766567464 20.79860837483376, -156.6425007256252 20.81373885775231, -156.6505932486359 20.82968703139279, -156.6569758825341 20.84629954191805, -156.6615866603181 20.8634165960295, -156.6643806069413 20.88087349234102, -156.6653301941985 20.8985022018798, -156.6644256295847 20.91613298271768, -156.6616749754419 20.93359601332983, -156.6571040962967 20.95072302901177, -156.6507564339315 20.96734894556898, -156.642692611418 20.98331345452737, -156.6329898690503 20.99846257430344, -156.6217413368303 21.01265014211964, -156.6090551498615 21.02573923195399, -156.5950534146737 21.03760348447128, -156.5798710361161 21.04812833569208, -156.5636544159874 21.05721213210898, -156.5465600360048 21.06476712104942, -156.5287529390242 21.07072030630079, -156.5104051235878 21.07501416034335, -156.4916938678836 21.07760718596713, -156.47280000002 21.07847432156394, -156.4539061321564 21.07760718596713, -156.4351948764522 21.07501416034335, -156.4168470610158 21.07072030630079, -156.3990399640351 21.06476712104942, -156.3819455840526 21.05721213210898, -156.3657289639239 21.04812833569208, -156.3505465853663 21.03760348447128, -156.3365448501785 21.02573923195399, -156.3238586632096 21.01265014211965, -156.3126101309897 20.99846257430344, -156.3029073886219 20.98331345452737, -156.2948435661084 20.96734894556899, -156.2884959037432 20.95072302901177, -156.2839250245981 20.93359601332983, -156.2811743704553 20.91613298271768, -156.2802698058415 20.8985022018798, -156.2802698058415 20.8985022018798)); 
POLYGON ((-156.2802698058415 20.8985022018798, -156.2812193930987 20.88087349234102, -156.2840133397219 20.8634165960295, -156.2886241175058 20.84629954191805, -156.2950067514041 20.82968703139279, -156.3030992744148 20.81373885775231, -156.3128233432936 20.79860837483376, -156.3240850084544 20.78444102921987, -156.3367756300753 20.77137296981083, -156.3507729311731 20.75952974775654, -156.3659421772664 20.74902511884539, -156.3821374712024 20.73995995944667, -156.3992031507995 20.73242130601362, -156.4169752761353 20.72648152698369, -156.4352831926145 20.72219763467228, -156.4539511553619 20.71961074345646, -156.47280000002 20.71874567919645, -156.4916488446781 20.71961074345646, -156.5103168074255 20.72219763467228, -156.5286247239047 20.72648152698369, -156.5463968492405 20.73242130601362, -156.5634625288376 20.73995995944667, -156.5796578227736 20.74902511884539, -156.5948270688669 20.75952974775654, -156.6088243699647 20.77137296981083, -156.6215149915855 20.78444102921987, -156.6327766567464 20.79860837483376, -156.6425007256252 20.81373885775231, -156.6505932486359 20.82968703139279, -156.6569758825341 20.84629954191805, -156.6615866603181 20.8634165960295, -156.6643806069413 20.88087349234102, -156.6653301941985 20.8985022018798, -156.6644256295847 20.91613298271768, -156.6616749754419 20.93359601332983, -156.6571040962967 20.95072302901177, -156.6507564339315 20.96734894556898, -156.642692611418 20.98331345452737, -156.6329898690503 20.99846257430344, -156.6217413368303 21.01265014211964, -156.6090551498615 21.02573923195399, -156.5950534146737 21.03760348447128, -156.5798710361161 21.04812833569208, -156.5636544159874 21.05721213210898, -156.5465600360048 21.06476712104942, -156.5287529390242 21.07072030630079, -156.5104051235878 21.07501416034335, -156.4916938678836 21.07760718596713, -156.47280000002 21.07847432156394, -156.4539061321564 21.07760718596713, -156.4351948764522 21.07501416034335, -156.4168470610158 21.07072030630079, -156.3990399640351 21.06476712104942, -156.3819455840526 21.05721213210898, -156.3657289639239 21.04812833569208, -156.3505465853663 21.03760348447128, -156.3365448501785 21.02573923195399, -156.3238586632096 21.01265014211965, -156.3126101309897 20.99846257430344, -156.3029073886219 20.98331345452737, -156.2948435661084 20.96734894556899, -156.2884959037432 20.95072302901177, -156.2839250245981 20.93359601332983, -156.2811743704553 20.91613298271768, -156.2802698058415 20.8985022018798, -156.2802698058415 20.8985022018798)); 
POLYGON ((-156.2802698058415 20.8985022018798, -156.2812193930987 20.88087349234102, -156.2840133397219 20.8634165960295, -156.2886241175058 20.84629954191805, -156.2950067514041 20.82968703139279, -156.3030992744148 20.81373885775231, -156.3128233432936 20.79860837483376, -156.3240850084544 20.78444102921987, -156.3367756300753 20.77137296981083, -156.3507729311731 20.75952974775654, -156.3659421772664 20.74902511884539, -156.3821374712024 20.73995995944667, -156.3992031507995 20.73242130601362, -156.4169752761353 20.72648152698369, -156.4352831926145 20.72219763467228, -156.4539511553619 20.71961074345646, -156.47280000002 20.71874567919645, -156.4916488446781 20.71961074345646, -156.5103168074255 20.72219763467228, -156.5286247239047 20.72648152698369, -156.5463968492405 20.73242130601362, -156.5634625288376 20.73995995944667, -156.5796578227736 20.74902511884539, -156.5948270688669 20.75952974775654, -156.6088243699647 20.77137296981083, -156.6215149915855 20.78444102921987, -156.6327766567464 20.79860837483376, -156.6425007256252 20.81373885775231, -156.6505932486359 20.82968703139279, -156.6569758825341 20.84629954191805, -156.6615866603181 20.8634165960295, -156.6643806069413 20.88087349234102, -156.6653301941985 20.8985022018798, -156.6644256295847 20.91613298271768, -156.6616749754419 20.93359601332983, -156.6571040962967 20.95072302901177, -156.6507564339315 20.96734894556898, -156.642692611418 20.98331345452737, -156.6329898690503 20.99846257430344, -156.6217413368303 21.01265014211964, -156.6090551498615 21.02573923195399, -156.5950534146737 21.03760348447128, -156.5798710361161 21.04812833569208, -156.5636544159874 21.05721213210898, -156.5465600360048 21.06476712104942, -156.5287529390242 21.07072030630079, -156.5104051235878 21.07501416034335, -156.4916938678836 21.07760718596713, -156.47280000002 21.07847432156394, -156.4539061321564 21.07760718596713, -156.4351948764522 21.07501416034335, -156.4168470610158 21.07072030630079, -156.3990399640351 21.06476712104942, -156.3819455840526 21.05721213210898, -156.3657289639239 21.04812833569208, -156.3505465853663 21.03760348447128, -156.3365448501785 21.02573923195399, -156.3238586632096 21.01265014211965, -156.3126101309897 20.99846257430344, -156.3029073886219 20.98331345452737, -156.2948435661084 20.96734894556899, -156.2884959037432 20.95072302901177, -156.2839250245981 20.93359601332983, -156.2811743704553 20.91613298271768, -156.2802698058415 20.8985022018798, -156.2802698058415 20.8985022018798)); 
POLYGON ((-156.2802698058415 20.8985022018798, -156.2812193930987 20.88087349234102, -156.2840133397219 20.8634165960295, -156.2886241175058 20.84629954191805, -156.2950067514041 20.82968703139279, -156.3030992744148 20.81373885775231, -156.3128233432936 20.79860837483376, -156.3240850084544 20.78444102921987, -156.3367756300753 20.77137296981083, -156.3507729311731 20.75952974775654, -156.3659421772664 20.74902511884539, -156.3821374712024 20.73995995944667, -156.3992031507995 20.73242130601362, -156.4169752761353 20.72648152698369, -156.4352831926145 20.72219763467228, -156.4539511553619 20.71961074345646, -156.47280000002 20.71874567919645, -156.4916488446781 20.71961074345646, -156.5103168074255 20.72219763467228, -156.5286247239047 20.72648152698369, -156.5463968492405 20.73242130601362, -156.5634625288376 20.73995995944667, -156.5796578227736 20.74902511884539, -156.5948270688669 20.75952974775654, -156.6088243699647 20.77137296981083, -156.6215149915855 20.78444102921987, -156.6327766567464 20.79860837483376, -156.6425007256252 20.81373885775231, -156.6505932486359 20.82968703139279, -156.6569758825341 20.84629954191805, -156.6615866603181 20.8634165960295, -156.6643806069413 20.88087349234102, -156.6653301941985 20.8985022018798, -156.6644256295847 20.91613298271768, -156.6616749754419 20.93359601332983, -156.6571040962967 20.95072302901177, -156.6507564339315 20.96734894556898, -156.642692611418 20.98331345452737, -156.6329898690503 20.99846257430344, -156.6217413368303 21.01265014211964, -156.6090551498615 21.02573923195399, -156.5950534146737 21.03760348447128, -156.5798710361161 21.04812833569208, -156.5636544159874 21.05721213210898, -156.5465600360048 21.06476712104942, -156.5287529390242 21.07072030630079, -156.5104051235878 21.07501416034335, -156.4916938678836 21.07760718596713, -156.47280000002 21.07847432156394, -156.4539061321564 21.07760718596713, -156.4351948764522 21.07501416034335, -156.4168470610158 21.07072030630079, -156.3990399640351 21.06476712104942, -156.3819455840526 21.05721213210898, -156.3657289639239 21.04812833569208, -156.3505465853663 21.03760348447128, -156.3365448501785 21.02573923195399, -156.3238586632096 21.01265014211965, -156.3126101309897 20.99846257430344, -156.3029073886219 20.98331345452737, -156.2948435661084 20.96734894556899, -156.2884959037432 20.95072302901177, -156.2839250245981 20.93359601332983, -156.2811743704553 20.91613298271768, -156.2802698058415 20.8985022018798, -156.2802698058415 20.8985022018798)); 
POLYGON ((-155.641846480831 20.03767703424251, -155.6427897545223 20.02004827717561, -155.645567112627 20.00259124233623, -155.6501512178816 19.98547396404847, -155.6564973807925 19.96886115233474, -155.6645440106768 19.95291261208062, -155.6742132267957 19.9377817112141, -155.6854116230215 19.92361391237032, -155.6980311781361 19.91054538184689, -155.7119503026008 19.89870168886875, -155.7270350114891 19.88819660728451, -155.7431402122301 19.87913103081755, -155.7601110948717 19.87159201190538, -155.7777846117553 19.86565193298908, -155.7959910327821 19.86136781787216, -155.8145555618648 19.8587807894657, -155.833299999682 19.85791567888415, -155.8520444374992 19.8587807894657, -155.8706089665819 19.86136781787216, -155.8888153876087 19.86565193298908, -155.9064889044923 19.87159201190538, -155.9234597871339 19.87913103081755, -155.9395649878749 19.88819660728451, -155.9546496967632 19.89870168886875, -155.9685688212279 19.91054538184688, -155.9811883763425 19.92361391237032, -155.9923867725683 19.9377817112141, -156.0020559886871 19.95291261208062, -156.0101026185715 19.96886115233474, -156.0164487814824 19.98547396404847, -156.021032886737 20.00259124233623, -156.0238102448416 20.02004827717561, -156.0247535185329 20.03767703424251, -156.0238530086034 20.05530776975118, -156.0211167709028 20.07277066388747, -156.016570562486 20.08989745716353, -156.0102576165091 20.10652307390987, -156.0022382471526 20.1224872171608, -155.992589287543 20.13763591938404, -155.9814033653445 20.15182303385688, -155.9687880223802 20.16491165199865, -155.9548646862885 20.17677543263051, -155.9397675038165 20.18729982994458, -155.9236420468628 20.19638320791908, -155.9066439037973 20.20393783000596, -155.8889371698756 20.20989071413277, -155.8706928517147 20.2141843443888, -155.8520872017843 20.21677723219295, -155.833299999682 20.21764432125165, -155.8145127975797 20.21677723219295, -155.7959071476493 20.2141843443888, -155.7776628294883 20.20989071413277, -155.7599560955667 20.20393783000596, -155.7429579525012 20.19638320791908, -155.7268324955475 20.18729982994458, -155.7117353130755 20.17677543263051, -155.6978119769838 20.16491165199865, -155.6851966340195 20.15182303385688, -155.674010711821 20.13763591938404, -155.6643617522114 20.1224872171608, -155.6563423828549 20.10652307390987, -155.650029436878 20.08989745716353, -155.6454832284611 20.07277066388747, -155.6427469907606 20.05530776975118, -155.641846480831 20.03767703424251, -155.641846480831 20.03767703424251)); 
