X,Y,OBJECTID_1,OBJECTID,ID,PORT,PORT_NAME,GRAND_TOTA,FOREIGN_TO,IMPORTS,EXPORTS,DOMESTIC
-168.938199999710662,53.759610000020977,1,1,124,C4947,"Unalaska Island, AK",1652281,1236829,426251,810578,415452
-156.472800000020328,20.898610000380238,2,2,85,C4410,"Kahului, Maui, HI",3615449,20391,20391,0,3595058
-155.833299999681657,20.037780000067926,3,3,116,C4405,"Kawaihae Harbor, HI",2034621,0,0,0,2034621
-159.35309999973407,21.961109999827457,4,4,113,C4430,"Nawiliwili, Kauai, HI",2069212,22066,22066,0,2047146
-158.10890000013822,21.297229999983575,5,5,52,C4458,"Barbers Point, Oahu, HI",9854176,7384757,6683744,701013,2469419
-157.871700000283454,21.311109999912151,6,6,41,C4420,"Honolulu, HI",15181890,1439915,1146253,293662,13741975
-155.0758000003635,19.728609999822265,7,7,109,C4400,"Hilo, HI",2129034,20362,20362,0,2108672
-151.314400000092377,60.747929999989488,8,8,82,C4831,"Nikishka, AK",4173279,345110,89375,255735,3828169
-149.895000000379611,61.237780000086417,9,9,87,C4820,"Anchorage, AK",3252349,1142384,1070471,71913,2109965
-146.346399999741919,61.124730000130796,10,10,27,C4816,"Valdez, AK",25807750,249648,0,249648,25558102
-164.53890000013152,67.719179999985016,11,11,130,C4978,"Kivilina, AK",1359589,3367,3367,0,1356222
-117.178400000264745,32.708209999763774,12,12,128,C4100,"San Diego, CA",1572162,1301084,1244610,56474,271078
-122.21401199961349,37.505360000269583,13,13,90,C4340,"Redwood City, CA",2957553,2743833,2352764,391069,213720
-122.399041999779854,37.806664999659269,14,14,126,C4335,"San Francisco, CA",1604190,895252,820003,75249,708938
-122.308100000064826,37.821520000055834,15,15,34,C4345,"Oakland, CA",19373876,17371852,8001995,9369857,2002024
-122.374233000202878,37.924237000220607,16,16,24,C4350,"Richmond, CA",27255061,18399389,13503409,4895980,8855672
-119.20847499961657,34.148244000358737,17,17,117,C4150,"Port Hueneme, CA",1987668,1978850,1795913,182937,8818
-118.241000000112649,33.777280000002655,18,18,10,C4120,"Los Angeles, CA",67806137,59834464,39642613,20191851,7971673
-118.20949999975322,33.739570000056425,19,19,7,C4110,"Long Beach, CA",86536154,76189229,53588309,22600920,10346925
-121.315600000175536,37.952699999902748,20,20,77,C4270,"Stockton, CA",5248146,5247906,2943312,2304594,240
-124.209500000115767,43.363510000279902,21,21,100,C4660,"Coos Bay, OR",2344508,2289415,217950,2071465,55093
-122.862799999678302,46.020479999842856,22,22,40,C4626,"Kalama, WA",15796458,14758767,387714,14371053,1037691
-122.665299999962812,45.478810000257937,23,23,31,C4644,"Portland, OR",23228424,15670578,2403561,13267017,7557846
-122.680599999880727,45.622440000045977,24,24,50,C4636,"Vancouver, WA",10527470,9263945,1440265,7823680,1263525
-124.176146000079115,46.904155999945296,25,25,97,C4702,"Grays Harbor, WA",2755772,2646633,119426,2527207,109139
-122.914000000319561,46.142219999800766,26,26,43,C4622,"Longview, WA",13738906,12519284,352839,12166445,1219622
-122.908900000346918,47.068269999984203,27,27,148,C4718,"Olympia, WA",820111,563471,0,563471,256640
-122.451500000246682,47.289660000116641,28,28,32,C4720,"Tacoma, WA",22849184,19624407,6814144,12810263,3224777
-122.359217999792023,47.587711000257926,29,29,26,C4722,"Seattle, WA",26046093,20403948,10126665,10277283,5642145
-122.229400000293268,47.984760000030228,30,30,147,C4725,"Everett, WA",838014,230374,159808,70566,607640
-122.599610000413847,48.495943000269243,31,31,49,C4730,"Anacortes, WA",11038886,3115380,1184533,1930847,7923506
-131.649999999690408,55.341929999833084,32,32,146,C4800,"Ketchikan, AK",870290,153899,39275,114624,716391
-97.398138000242639,25.952201000183674,33,33,59,C2420,"Brownsville, TX",8348358,4986724,4259947,726777,3361634
-97.397889999647205,27.812770000001805,34,34,5,C2423,"Corpus Christi, TX",93468323,69224592,21718570,47506022,24243731
-96.972470000305449,28.691310000149471,35,35,84,C2411,"Victoria, TX",3860635,0,0,0,3860635
-96.564119999994944,28.595400000370145,36,36,76,C2410,"Matagorda Port Lv Pt Com, TX",5379731,2014237,659730,1354507,3365494
-95.370700000017465,28.96133000023617,37,37,28,C2408,"Freeport, TX",25446078,20898788,8004379,12894409,4547290
-94.812699999681911,29.310490000324506,38,38,53,C2417,"Galveston, TX",9111500,4720353,2054282,2666071,4391147
-95.293679000020958,29.747023000388641,39,39,2,C2012,"Houston, TX",268930047,191083422,73863287,117220135,77846625
-94.918091000093398,29.363067999807804,40,40,15,C2404,"Texas City, TX",42682311,25483184,5795169,19688015,17199127
-93.960690000138058,29.831420000085078,41,41,17,C2416,"Port Arthur, TX",39851706,28979946,9189716,19790230,10871760
-94.08811199963624,30.087163000369568,42,42,4,C2395,"Beaumont, TX",100244231,61846657,27617441,34229216,38397574
-93.818315000153248,30.045487999640148,43,43,134,C2394,"Orange, TX",1235508,133,96,37,1235375
